150
1738D0
4902.801076D0
12	9	-0.1225386564160D-5	 0.9639959922180D-6
12	10	-0.3101237396670D-5	-0.1418278014350D-5
12	11	-0.9321679460820D-6	-0.2322870607740D-6
12	12	 0.3098292656740D-6	 0.1260281057230D-5
13	0	 0.2586504948770D-6	 0.0000000000000D+0
13	1	 0.1070362892510D-5	-0.1213942026570D-6
13	2	-0.3496541951060D-5	 0.5419133991710D-6
13	3	-0.3069047530910D-6	-0.1419138328730D-5
13	4	 0.8011384606000D-6	-0.7308289826670D-6
13	5	-0.1281407602360D-5	 0.1161181641060D-5
13	6	 0.5908707653360D-7	 0.1413980361110D-5
13	7	 0.9439343676300D-7	-0.8754135913100D-6
13	8	-0.1513159323730D-6	-0.1319046243310D-5
13	9	-0.3463348777290D-6	 0.4180244062130D-6
13	10	-0.7660279342240D-6	 0.6405223831350D-6
13	11	-0.1236175924960D-5	 0.5593959591850D-6
13	12	-0.6699957764760D-6	-0.1628732850190D-5
13	13	 0.2510096157370D-5	-0.2695353690560D-5
14	0	 0.3263003307820D-6	 0.0000000000000D+0
14	1	 0.6420032590450D-6	-0.5996423116080D-6
14	2	 0.5428525323210D-6	 0.3926407861080D-6
14	3	 0.6627259743350D-6	-0.3988675663980D-7
14	4	-0.4095490656970D-6	-0.2627199636380D-5
14	5	-0.8386630529259D-6	-0.3100140105800D-7
14	6	-0.5848917383360D-6	 0.1674586367850D-5
14	7	-0.5822596934400D-6	 0.1055338857330D-5
14	8	 0.7518438167690D-7	 0.7297452743510D-6
14	9	-0.9649411511090D-7	-0.1443310643610D-5
14	10	-0.5992638046030D-6	 0.6653547279770D-6
14	11	-0.1943914441940D-5	 0.1740242674490D-5
14	12	-0.1483489968850D-5	-0.6889091792179D-6
14	13	-0.1697884891170D-6	-0.9358902577210D-6
14	14	-0.6566164485740D-6	 0.1135134065240D-5
15	0	-0.9725308529990D-7	 0.0000000000000D+0
15	1	-0.8334583114360D-6	 0.3254200793570D-6
15	2	-0.1213674190840D-6	 0.7036562592280D-6
15	3	-0.1352760006960D-5	-0.6506592979340D-6
15	4	-0.1116215811080D-5	-0.1190639666160D-5
15	5	-0.1225958739110D-6	-0.7961014028070D-6
15	6	-0.2421214225740D-7	-0.4525795817060D-6
15	7	 0.1228394933480D-5	 0.1674125844350D-5
15	8	 0.1414174162950D-5	 0.2015992014820D-5
15	9	 0.3493198675120D-7	-0.1336258893290D-5
15	10	 0.6076323481960D-7	 0.2091954479050D-6
15	11	-0.1515101864840D-5	-0.1604504160960D-5
15	12	-0.1569600442540D-5	-0.3344029492070D-6
15	13	-0.4845925874600D-6	 0.5788934108900D-6
15	14	 0.6320235455650D-6	 0.5277676720670D-6
15	15	 0.6135055999150D-6	 0.6577449309860D-6
16	0	 0.3184460401320D-6	 0.0000000000000D+0
16	1	-0.2491223151840D-7	 0.8990731159870D-6
16	2	 0.1700598396650D-5	 0.9476066637620D-7
16	3	-0.1637217032520D-6	 0.4142892987300D-6
16	4	 0.5482827549820D-6	 0.3455988399240D-6
16	5	 0.9181743389920D-6	-0.6353997304690D-6
16	6	 0.9607797536200D-6	-0.9278220520570D-6
16	7	-0.2227361114500D-6	-0.5900887524190D-6
16	8	-0.2049913618810D-6	 0.1812352725300D-6
16	9	-0.9699957351210D-6	-0.9314434227870D-6
